1#央视,#genre#
CGTN纪录,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226667/1.m3u8
CGTN西班牙语,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226638/1.m3u8
百视通1,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226151/1.m3u8
百视通2,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226187/1.m3u8
百视通3,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226188/1.m3u8
百视通4,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
百视通5,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8
百视通6,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
百视通7,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
百视通8,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
百视通9,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226194/1.m3u8
百视通10,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
睛彩竞技,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226580/1.m3u8
睛彩篮球,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226582/1.m3u8
